School Holiday Days,,,,,,,,,,,,,
2013,,,2014,,,2015,,,,,,,
1/1/2013,1,Tuesday,1/1/2014,2,Wednesday,1/1/2015,3,Thursday,,,,0,Monday
1/2/2013,2,Wednesday,1/5/2014,6,Sunday,1/4/2015,6,Sunday,,,,1,Tuesday
1/3/2013,3,Thursday,4/6/2014,6,Sunday,2/4/2015,2,Wednesday,,,,2,Wednesday
1/4/2013,4,Friday,,,,2/5/2015,3,Thursday,,,,3,Thursday
1/5/2013,5,Saturday,,,,2/18/2015,2,Wednesday,,,,4,Friday
1/6/2013,6,Sunday,,,,3/29/2015,6,Sunday,,,,5,Saturday
1/7/2013,0,Monday,,,,,,,,,,6,Sunday
1/8/2013,1,Tuesday,,,,,,,,,,,
1/9/2013,2,Wednesday,,,,,,,,,,,
1/10/2013,3,Thursday,,,,,,,,,,,
1/11/2013,4,Friday,,,,,,,,,,,
2/4/2013,0,Monday,,,,,,,,,,,
2/5/2013,1,Tuesday,,,,,,,,,,,
2/6/2013,2,Wednesday,,,,,,,,,,,
2/7/2013,3,Thursday,,,,,,,,,,,
2/8/2013,4,Friday,,,,,,,,,,,
3/24/2013,6,Sunday,,,,,,,,,,,
3/25/2013,0,Monday,,,,,,,,,,,
3/26/2013,1,Tuesday,,,,,,,,,,,
3/27/2013,2,Wednesday,,,,,,,,,,,
3/28/2013,3,Thursday,,,,,,,,,,,
3/29/2013,4,Friday,,,,,,,,,,,
4/1/2013,0,Monday,4/13/2014,6,Sunday,4/3/2015,4,Friday,,,,,
4/2/2013,1,Tuesday,4/18/2014,4,Friday,4/5/2015,6,Sunday,,,,,
4/3/2013,2,Wednesday,4/20/2014,6,Sunday,4/6/2015,0,Monday,,,,,
4/4/2013,3,Thursday,4/21/2014,0,Monday,4/9/2015,3,Thursday,,,,,
4/5/2013,4,Friday,4/22/2014,1,Tuesday,,,,,,,,
5/9/2013,3,Thursday,4/23/2014,2,Wednesday,,,,,,,,
5/10/2013,4,Friday,4/24/2014,3,Thursday,5/14/2015,3,Thursday,,,,,
5/20/2013,0,Monday,4/25/2014,4,Friday,,,,,,,,
5/21/2013,1,Tuesday,5/1/2014,3,Thursday,,,,,,,,
5/30/2013,3,Thursday,5/30/2014,4,Friday,,,,,,,,
6/19/2013,2,Wednesday,6/2/2014,0,Monday,6/4/2015,3,Thursday,,,,,
6/20/2013,3,Thursday,6/3/2014,1,Tuesday,,,,,,,,
6/21/2013,4,Friday,6/4/2014,2,Wednesday,,,,,,,,
6/24/2013,0,Monday,6/5/2014,3,Thursday,,,,,,,,
6/25/2013,1,Tuesday,6/6/2014,4,Friday,,,,,,,,
6/26/2013,2,Wednesday,6/19/2014,3,Thursday,,,,,,,,
6/27/2013,3,Thursday,7/9/2014,2,Wednesday,,,,,,,,
6/28/2013,4,Friday,,,,,,,,,,,
7/1/2013,0,Monday,,,,,,,,,,,
7/2/2013,1,Tuesday,,,,,,,,,,,
7/3/2013,2,Wednesday,,,,,,,,,,,
7/4/2013,3,Thursday,,,,,,,,,,,
7/5/2013,4,Friday,,,,,,,,,,,
7/7/2013,6,Sunday,,,,,,,,,,,
7/8/2013,0,Monday,,,,,,,,,,,
7/9/2013,1,Tuesday,,,,,,,,,,,
7/10/2013,2,Wednesday,7/10/2014,3,Thursday,,,,,,,,
7/11/2013,3,Thursday,7/11/2014,4,Friday,,,,,,,,
7/12/2013,4,Friday,7/14/2014,0,Monday,,,,,,,,
7/14/2013,6,Sunday,7/15/2014,1,Tuesday,,,,,,,,
,,,7/16/2014,2,Wednesday,,,,,,,,
,,,7/17/2014,3,Thursday,,,,,,,,
,,,7/18/2014,4,Friday,7/16/2015,3,Thursday,,,,,
7/21/2013,6,Sunday,7/21/2014,0,Monday,7/17/2015,4,Friday,,,,,
,,,7/22/2014,1,Tuesday,7/20/2015,0,Monday,,,,,
,,,7/23/2014,2,Wednesday,7/21/2015,1,Tuesday,,,,,
,,,7/24/2014,3,Thursday,7/22/2015,2,Wednesday,,,,,
,,,7/25/2014,4,Friday,7/23/2015,3,Thursday,,,,,
7/28/2013,6,Sunday,7/28/2014,0,Monday,7/24/2015,4,Friday,,,,,
7/29/2013,0,Monday,7/29/2014,1,Tuesday,7/26/2015,6,Sunday,,,,,
7/30/2013,1,Tuesday,7/30/2014,2,Wednesday,7/27/2015,0,Monday,,,,,
7/31/2013,2,Wednesday,7/31/2014,3,Thursday,7/28/2015,1,Tuesday,,,,,
,,,,,,7/29/2015,2,Wednesday,,,,,
,,,,,,7/30/2015,3,Thursday,,,,,
,,,,,,7/31/2015,4,Friday,,,,,
8/1/2013,3,Thursday,8/1/2014,4,Friday,,,,,,,,
8/2/2013,4,Friday,8/3/2014,6,Sunday,,,,,,,,
8/4/2013,6,Sunday,8/4/2014,0,Monday,,,,,,,,
8/5/2013,0,Monday,8/5/2014,1,Tuesday,,,,,,,,
8/6/2013,1,Tuesday,8/6/2014,2,Wednesday,,,,,,,,
8/7/2013,2,Wednesday,8/7/2014,3,Thursday,,,,,,,,
8/8/2013,3,Thursday,8/8/2014,4,Friday,,,,,,,,
,,,8/10/2014,6,Sunday,,,,,,,,
8/11/2013,6,Sunday,8/11/2014,0,Monday,,,,,,,,
,,,8/12/2014,1,Tuesday,,,,,,,,
,,,8/13/2014,2,Wednesday,,,,,,,,
,,,8/14/2014,3,Thursday,,,,,,,,
8/15/2013,3,Thursday,8/15/2014,4,Friday,,,,,,,,
8/16/2013,4,Friday,8/17/2014,6,Sunday,,,,,,,,
8/19/2013,0,Monday,8/18/2014,0,Monday,,,,,,,,
8/20/2013,1,Tuesday,8/19/2014,1,Tuesday,,,,,,,,
8/21/2013,2,Wednesday,8/20/2014,2,Wednesday,,,,,,,,
8/22/2013,3,Thursday,8/21/2014,3,Thursday,,,,,,,,
,,,8/22/2014,4,Friday,,,,,,,,
8/23/2013,4,Friday,8/23/2014,5,Saturday,,,,,,,,
,,,8/24/2014,6,Sunday,,,,,,,,
,,,8/25/2014,0,Monday,,,,,,,,
8/26/2013,0,Monday,8/26/2014,1,Tuesday,,,,,,,,
8/27/2013,1,Tuesday,8/27/2014,2,Wednesday,,,,,,,,
8/28/2013,2,Wednesday,8/28/2014,3,Thursday,,,,,,,,
8/29/2013,3,Thursday,8/29/2014,4,Friday,,,,,,,,
8/30/2013,4,Friday,8/30/2014,5,Saturday,,,,,,,,
9/2/2013,0,Monday,8/31/2014,6,Sunday,,,,,,,,
9/3/2013,1,Tuesday,9/1/2014,0,Monday,,,,,,,,
9/4/2013,2,Wednesday,9/2/2014,1,Tuesday,,,,,,,,
9/5/2013,3,Thursday,9/3/2014,2,Wednesday,,,,,,,,
9/6/2013,4,Friday,9/4/2014,3,Thursday,,,,,,,,
9/9/2013,0,Monday,9/5/2014,4,Friday,,,,,,,,
9/10/2013,1,Tuesday,9/7/2014,6,Sunday,,,,,,,,
9/11/2013,2,Wednesday,9/8/2014,0,Monday,,,,,,,,
9/30/2013,0,Monday,9/9/2014,1,Tuesday,,,,,,,,
10/3/2013,3,Thursday,9/10/2014,2,Wednesday,,,,,,,,
10/6/2013,6,Sunday,9/11/2014,3,Thursday,,,,,,,,
10/13/2013,6,Sunday,9/12/2014,4,Friday,,,,,,,,
10/20/2013,6,Sunday,10/26/2014,6,Sunday,,,,,,,,
10/31/2013,3,Thursday,10/28/2014,1,Tuesday,,,,,,,,
11/1/2013,4,Friday,10/31/2014,4,Friday,,,,,,,,
12/25/2013,2,Wednesday,12/25/2014,3,Thursday,,,,,,,,
12/26/2013,3,Thursday,12/26/2014,4,Friday,,,,,,,,
12/29/2013,6,Sunday,12/28/2014,6,Sunday,,,,,,,,
